ID,Master Gender,Master MaoPI
1,2,1
2,2,1
3,2,2
4,1,2
5,2,2
6,1,2
7,2,1
8,2,2
9,2,2
10,2,2
11,2,1
12,2,2
13,2,2
14,1,2
15,1,2
16,2,1
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,1
27,2,1
28,2,1
29,1,2
30,2,2
31,2,2
32,2,2
33,2,2
34,1,1
35,2,1
36,1,2
37,2,2
38,2,1
39,2,2
40,2,2
41,2,1
42,2,1
43,2,1
44,2,2
45,2,2
46,1,2
47,2,2
48,2,2
49,2,2
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,1,2
57,2,1
58,2,1
59,1,2
60,2,2
61,2,2
62,1,1
63,1,2
64,1,2
65,2,2
66,2,2
67,2,1
68,2,1
69,2,2
70,1,2
71,2,2
72,1,2
73,2,1
74,2,1
75,2,1
76,1,2
77,2,1
78,2,2
79,2,1
80,1,2
81,2,1
82,2,2
83,2,1
84,2,1
85,2,2
