ID,Gender,MaoPI,Ethnic,PTJob,CigsOk,AlcOk,DrugsBad,SchoolPercept,SchoolPercAlt,PhysActive,PhysActAlt,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FatherSmoke1,OtherMaleSmok1,MotherSmoke1,OtherFemSmok1,BroSmoke1,SisSmoke1,MaleSmokB,DadSmokB,MomSmokB,FemaleSmokB,BroSmokB,SisSmokB,ParentAdQuitSmok,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,MaleDrink1,FatherDrink1,MotherDrink1,FemDrink1,OldBroDrink1,OldSisDrink1,ParentAdDrink,FemaleDrink,MaleDrink,SiblingDrink,ParentAdQuitDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,MaleDrinkB,FatherDrinkB,MotherDrinkB,FemDrinkB,OldBroDrinkB,OldSisDrinkB,MaleQuitD,FatherQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,2,1,2,1,77,4,84,4,76,75,2,2,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
3,2,2,3,1,1,1,2,91,4,72,3,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,2,2,1,1,1,2,27,2,101,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1
5,2,2,2,1,2,2,1,94,4,99,4,1,1,1,1,1,1,2,4,2,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,1,1,1,1,2,10,1,100,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,2,2,1,1,1,2,90,4,89,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
